StartDate,EndDate,Comment
1995-08-18,1995-11-01,end date is early Nov. for all years (written comm. Kevin Lakey)
1996-08-15,1996-11-01,
1997-08-26,1997-11-01,
1998-08-06,1998-11-01,
1999-08-09,1999-11-01,
2000-06-29,2000-11-01,
2001-06-05,2001-11-01,
2002-07-02,2002-11-01,
2003-07-01,2003-11-01,start date is assumed early July based on Stanton Crossing gage
2004-05-24,2004-11-01,
2005-07-20,2005-11-01,
2006-07-19,2006-11-01,
2007-06-25,2007-11-01,
2008-07-15,2008-11-01,
2009-07-22,2009-11-01,
2010-07-19,2010-11-01,
