YearMonth,Pdate_BWR,Pdate_SC
199504,none,none
199505,none,none
199506,none,none
199507,none,none
199508,5/1/1886,5/15/1890
199509,5/1/1888,5/15/1890
199510,none,none
199604,none,none
199605,none,none
199606,none,6/30/1895
199607,6/15/1891,4/1/1888
199608,7/10/1884,4/1/1888
199609,7/10/1884,4/1/1888
199610,none,none
199704,none,none
199705,none,none
199706,none,none
199707,none,5/20/1896
199708,5/1/1888,5/20/1896
199709,5/1/1888,none
199710,none,none
199804,none,none
199805,none,none
199806,none,none
199807,none,none
199808,5/1/1888,none
199809,7/15/1885,none
199810,none,none
199904,none,none
199905,none,none
199906,none,none
199907,none,none
199908,10/15/1884,10/29/1891
199909,10/15/1884,10/29/1891
199910,none,none
200004,none,none
200005,none,none
200006,5/15/1891,9/1/1887
200007,5/1/1883,6/15/1885
200008,3/24/1883,4/1/1884
200009,3/24/1883,4/1/1884
200010,none,none
200104,none,6/30/1885
200105,none,6/30/1885
200106,none,4/1/1884
200107,3/24/1883,4/6/1883
200108,3/10/1883,4/6/1883
200109,3/10/1883,4/6/1883
200110,none,none
200204,none,none
200205,none,4/3/1884
200206,5/5/1890,6/15/1887
200207,5/1/1883,6/14/1883
200208,3/24/1883,6/14/1883
200209,3/24/1883,9/1/1883
200210,none,none
200304,none,none
200305,none,4/6/1906
200306,none,6/3/1897
200307,6/20/1884,5/15/1884
200308,3/24/1883,9/1/1883
200309,3/24/1883,9/1/1883
200310,none,none
200404,none,none
200405,none,none
200406,none,10/25/1892
200407,4/12/1883,6/3/1884
200408,3/24/1883,6/3/1884
200409,3/24/1883,6/3/1884
200410,none,none
200504,none,none
200505,none,none
200506,none,none
200507,10/15/1884,10/25/1892
200508,3/24/1883,4/1/1889
200509,3/24/1883,4/1/1889
200510,none,none
200604,none,none
200605,none,none
200606,none,none
200607,5/1/1888,none
200608,4/3/1884,none
200609,4/3/1884,none
200610,none,none
200704,none,none
200705,none,none
200706,10/15/1884,5/15/1904
200707,3/24/1883,11/1/1889
200708,3/24/1883,9/1/1883
200709,8/1/1882,9/1/1883
200710,none,none
200804,none,none
200805,none,none
200806,none,none
200807,6/20/1884,4/1/1888
200808,3/24/1883,5/15/1884
200809,3/24/1883,9/1/1883
200810,none,none
200904,4/1/1921,none
200905,4/1/1921,none
200906,4/1/1921,none
200907,6/10/1887,none
200908,6/15/1883,none
200909,5/2/1884,none
200910,none,none
201004,none,none
201005,none,none
201006,none,none
201007,9/18/1885,5/31/1890
201008,5/15/1883,5/31/1890
201009,5/1/1883,5/31/1890
201010,none,none
