YearMonth,nKet_Hai_cfs,Hai_StC_cfs,WillowCr_cfs,SilverAbv_cfs,SilverBlw_cfs
199501,-23.49,,,-95.5,0
199502,-25.66,,,-114.1,0
199503,-39.26,,,-186.2,0
199504,-77.02,,,-148.49,0
199505,,,,-154.1,0
199506,,,,-177.94,0
199507,,,,-172.07,0
199508,,,,-186.53,0
199509,,,,-222.23,0
199510,-49.35,,,-203.34,0
199511,-36.28,,,-199.9,0
199512,-32.47,,,-208.4,0
199601,-29.89,,,-176.1,0
199602,-31.02,,,-185.4,0
199603,-38.58,,,-210.4,0
199604,-78.24,,,-183.5,0
199605,,,,-195.88,0
199606,,,,-186.4,0
199607,,,,-135.04,0
199608,,,,-186.29,0
199609,,,,-204.84,0
199610,-43.22,109.34,,-173.2,0
199611,-35.44,139.5,,-201.4,0
199612,-31.75,159.2,,-190.4,0
199701,-41.95,105.8,,-218.7,0
199702,-32.14,81.3,,-184.8,0
199703,-41.72,54.2,,-242.1,0
199704,-99.95,-10.5,,-210.16,0
199705,,-474.89,,-183.84,0
199706,,-578.46,,-213.13,0
199707,,34.64,,-199.55,0
199708,,-30.96,,-241.51,0
199709,,-20.33,,-242.29,0
199710,-54.55,75.56,,-222.36,0
199711,-37.56,94.3,,-195.9,0
199712,-30.36,136.7,,-171.6,0
199801,-32.56,150.1,,-167.7,0
199802,-31.02,103,,-184,0
199803,-33.94,86.1,,-230.5,0
199804,-60.59,64.29,,-207.19,0
199805,,-468.29,,-192.75,0
199806,,-630.51,,-203.71,0
199807,,-247.75,,-193.12,0
199808,,-35.35,,-225.61,0
199809,,-23.88,,-226.1,0
199810,-52.24,76.21,,-196.83,0
199811,-36.37,116.4,,-200.8,0
199812,-30.53,119.1,,-176.8,0
199901,-30.95,153.8,,-166.4,0
199902,-30.57,121.6,,-172.5,0
199903,-36.29,123.7,,-210,0
199904,-74.57,69.74,,-208.98,0
199905,,-73.83,,-174.01,0
199906,,-505.08,,-209.15,0
199907,,-126.97,,-166.35,0
199908,,-4.5,,-206.85,0
199909,,9.64,,-191.98,0
199910,-46.99,132.01,,-172.07,0
199911,-34.9,163.7,,-174.6,0
199912,-30.92,143.5,,-170.3,0
200001,-31.11,150.3,,-167.4,0
200002,-31.58,129,,-179,0
200003,-33.53,110,,-214.7,0
200004,-76.38,87.95,,-165.19,0
200005,,67.27,,-176.82,0
200006,,155.22,,-146.42,0
200007,,37.77,-61.23,-130.77,0
200008,,59.17,-41.37,-116.91,0
200009,,62.63,-31.52,-108.25,0
200010,-40.49,179.95,-21.05,-114.28,0
200011,-32.1,169.5,-19.73,-128.8,0
200012,-28.53,143.8,-21.07,-136.8,0
200101,-27.71,139.1,-22.91,-139.1,0
200102,-26.88,113.9,-23.89,-141.7,0
200103,-31.42,120.6,-28.36,-165.6,0
200104,-49.5,80.97,-24.02,-145.15,0
200105,,59.48,-30.59,-148.97,0
200106,,14.74,-37.53,-119.79,0
200107,,33.04,-34.67,-98.42,0
200108,,28.93,-20.64,-85.69,0
200109,,17.34,-9.69,-71.5,0
200110,-27.67,92.7,-8.88,-70.72,0
200111,-24.6,113.2,-10.76,-89.4,0
200112,-23.15,98.43,-10.23,-106.1,0
200201,-23.49,105.01,-9.72,-108.2,0
200202,-23.68,107.46,-9.23,-114.1,0
200203,-25.34,122.3,-17.67,-146.3,0
200204,-60.15,128.28,-18.92,-136.14,0
200205,,64.41,-31.61,-130.81,0
200206,,-121.5,-37.79,-156.98,0
200207,,7.69,-45.73,-114.81,0
200208,,57.71,-42.3,-89.17,0
200209,,53.1,-18.64,-95.72,0
200210,-29.64,104.1,-10.14,-93.1,0
200211,-25.15,119.6,-12.09,-109.6,0
200212,-23.28,100.6,-11.52,-114.6,0
200301,-25.29,120.7,-12.17,-119,0
200302,-24.52,114.42,-10.97,-134.3,0
200303,-28.89,161.55,-11.71,-126,0
200304,-51.5,134.79,-26.9,-121.55,0
200305,,-8.19,-32.35,-136.92,0
200306,,-94.13,-42.98,-131.58,0
200307,,52.12,-40.01,-118.3,0
200308,,52.91,-38.46,-98.54,0
200309,,71.34,-25.62,-100.29,0
200310,-31.71,103.49,-14.51,-101.95,0
200311,-25.13,115.2,-8.96,-124.2,0
200312,-25.24,117.6,-9.53,-125.7,0
200401,-23.84,105.4,-7.68,-113,0
200402,-23.28,101.96,-8.56,-116.9,0
200403,-34.1,188.3,-17.54,-158.2,0
200404,-70.62,96.2,-19.03,-122.92,0
200405,,27.92,-35.82,-141.41,0
200406,,9.31,-50.57,-152.95,0
200407,,-22.04,-49.17,-137.85,0
200408,,-19.34,-40.67,-119.27,0
200409,,25.77,-17.19,-104.14,0
200410,-33.78,120.37,-15.09,-117.53,0
200411,-27.5,135.8,-16.19,-118.5,0
200412,-23.46,91.7,-10.86,-121.7,0
200501,-24.22,104.7,-11.15,-117.5,0
200502,-23.86,104.2,-8.19,-108.9,0
200503,-27.4,141.4,-20.38,-157.5,0
200504,-46.63,136.2,-18.29,-119.11,0
200505,,147.24,-34.92,-169.69,0
200506,,52,-34.41,-183.11,0
200507,,43.49,-36.99,-173.29,0
200508,,39.49,-45.01,-170.06,0
200509,,38.94,-35.33,-144.93,0
200510,-35.86,125.98,-29.81,-136.24,0
200511,-28.5,126.8,-31.51,-134.4,0
200512,-26,116.5,-24.74,-134.4,0
200601,-27.06,130.9,-24.9,-159.6,0
200602,-26.12,124.8,-27.33,-137.8,0
200603,-27.97,101.3,-40.24,-174.4,0
200604,-95.34,-41.88,-46.61,-263.88,0
200605,,123.71,-56.16,-177.29,0
200606,,5.52,-60.61,-194.68,0
200607,,9.67,-47.65,-198.58,0
200608,,-33.23,-44.46,-217.97,0
200609,,-15.99,-32.62,-188.52,0
200610,-46.94,119.94,-33.79,-147.28,0
200611,-34.24,179.2,-33.8,-146.94,0
200612,-29.85,143.1,-28,-144,0
200701,-29,145.4,,-139.36,0
200702,-28.37,133.6,-31.59,-141.16,0
200703,-36.97,150.3,-35.48,-178.65,0
200704,-66.11,126.06,-25.67,-173.56,0
200705,,125,-26.76,-175.96,0
200706,,56.97,-33.53,-193.26,0
200707,,57.79,-27.8,-155.46,0
200708,,59.19,-17.79,-154.5,0
200709,,88.26,-9.96,-130.11,0
200710,-31.99,136.03,-12.21,-99.62,0
200711,-26.2,115.7,-15.23,-107.8,0
200712,-24.41,98.9,-16.58,-108.7,0
200801,-25.46,118.4,-13.62,-97.2,0
200802,-25.28,122.3,-13.9,-110.3,0
200803,-26.6,134.9,-17.08,-121.5,0
200804,-45.65,160.64,-25.91,-154.8,0
200805,,189.22,-25.59,-108.74,0
200806,,127,-36.84,-141.85,0
200807,,48.83,-35.3,-123.41,0
200808,,26.43,-38.71,-121.02,0
200809,,42.92,-22.36,-96.32,0
200810,-30.44,116.52,-20.68,-101.28,0
200811,-28.83,114.3,-21.79,-121.1,0
200812,-24.74,95.5,-18.49,-122.7,0
200901,-26.21,123,-13.2,-119.5,0
200902,-25.33,119,-10.87,-114.3,0
200903,-26.69,121.9,-17.84,-157.2,0
200904,-65.95,148.21,-21.47,-141.55,0
200905,,100.59,-32.66,-126.69,0
200906,,69.6,-45.79,-219.11,0
200907,,23.08,-38.26,-159.52,0
200908,,0.39,-43.26,-151.08,0
200909,,19.34,-33.24,-142.89,0
200910,-42.32,113.86,-32.71,-198.53,0
200911,-30.66,102.5,-26.53,-155,0
200912,-26.42,119.6,-19.65,-134.1,0
201001,-27.98,138.2,-19.68,-137.7,0
201002,-26.55,113.9,-20.67,-140.4,0
201003,-27.61,105.6,-29.31,-169.2,0
201004,-56.23,136.82,-27.57,-154.8,0
201005,,112.39,-36.11,-124.83,0
201006,,251.14,-57.62,-159.17,0
201007,,141.03,-56.58,-147.87,0
201008,,34.1,-58.05,-141.83,0
201009,,37.99,-41.56,-153.85,0
201010,-36.06,120.2,-39.09,-130.37,0
201011,-29.25,138.5,-30.76,-136.2,0
201012,-31.22,133.5,-28.55,-141.8,0
