YearMonth,Picabo_ft,Ketchum_ft,Hailey_ft
199411,0.11583333,0.20250000,
199412,0.16583333,0.17833333,
199501,0.18083333,0.42333333,
199502,0.06916667,0.11583333,
199503,0.28083333,0.59166667,
199504,0.07500000,0.10500000,
199505,0.24416667,0.23250000,
199506,0.26500000,0.20166667,
199507,0.09083333,0.06000000,
199508,0.04000000,0.01333333,
199509,0.04250000,0.00083333,
199510,0.00000000,0.01666667,
199511,0.06583333,0.15750000,
199512,0.23833333,0.38333333,
199601,0.18083333,0.23000000,
199602,0.07166667,0.16833333,
199603,0.13250000,0.13083333,
199604,0.09916667,0.12833333,
199605,0.15333333,0.24500000,
199606,0.00500000,0.01500000,
199607,0.00500000,0.02666667,
199608,0.00000000,0.00750000,
199609,0.00666667,0.04833333,
199610,0.05166667,0.05916667,
199611,0.23666667,0.20916667,
199612,0.44833333,0.58250000,
199701,0.25083333,0.41333333,
199702,0.01000000,0.03833333,
199703,0.06666667,0.06250000,
199704,0.06916667,0.08166667,
199705,0.00666667,0.05833333,
199706,0.11666667,0.13666667,
199707,0.03083333,0.06666667,
199708,0.01750000,0.05416667,
199709,0.02666667,0.06250000,
199710,0.07083333,0.23000000,
199711,0.06583333,0.24250000,
199712,0.03750000,0.03916667,
199801,0.19750000,0.23750000,
199802,0.12500000,0.26583333,
199803,0.15166667,0.11666667,
199804,0.07750000,0.08916667,
199805,0.23750000,0.45500000,
199806,0.17250000,0.21916667,
199807,0.05583333,0.04500000,
199808,0.00416667,0.00833333,
199809,0.08166667,0.09500000,
199810,0.01250000,0.04916667,
199811,0.13666667,0.23416667,
199812,0.09250000,0.19250000,
199901,0.17666667,0.24500000,
199902,0.20583333,0.39583333,
199903,0.03750000,0.05750000,
199904,0.07666667,0.06833333,
199905,0.10583333,0.12083333,
199906,0.05666667,0.13000000,
199907,0.00000000,0.01083333,
199908,0.01250000,0.04083333,
199909,0.00000000,0.00000000,
199910,0.03166667,0.06916667,
199911,0.00666667,0.05250000,
199912,0.04583333,0.10666667,
200001,0.17333333,0.26166667,
200002,0.19666667,0.26083333,
200003,0.12500000,0.12166667,
200004,0.06500000,0.10916667,
200005,0.07666667,0.14750000,
200006,0.00500000,0.00083333,
200007,0.01000000,0.02083333,
200008,0.01500000,0.05583333,
200009,0.07000000,0.25083333,
200010,0.14583333,0.41583333,
200011,0.03000000,0.05000000,
200012,0.05500000,0.08750000,
200101,0.04250000,0.12333333,
200102,0.05666667,0.03416667,
200103,0.05666667,0.04833333,
200104,0.08833333,0.09083333,
200105,0.01416667,0.02500000,
200106,0.00666667,0.01083333,
200107,0.04833333,0.07416667,
200108,0.00750000,0.00750000,
200109,0.05583333,0.03833333,
200110,0.05583333,0.06583333,
200111,0.07500000,0.13083333,
200112,0.18083333,0.33916667,
200201,0.05666667,0.14666667,
200202,0.02500000,0.06750000,
200203,0.08166667,0.07583333,
200204,0.05583333,0.09250000,
200205,0.07000000,0.04833333,
200206,0.03000000,0.00333333,
200207,0.01000000,0.00833333,
200208,0.01083333,0.02416667,
200209,0.02166667,0.02916667,
200210,0.01750000,0.13666667,
200211,0.06583333,0.16166667,
200212,0.18333333,0.34833333,
200301,0.08333333,0.10166667,
200302,0.08000000,0.09583333,
200303,0.06583333,0.12000000,
200304,0.18333333,0.18666667,
200305,0.08333333,0.13916667,
200306,0.01000000,0.00500000,
200307,0.00000000,0.01083333,
200308,0.06583333,0.08833333,
200309,0.06416667,0.02916667,
200310,0.01333333,0.01250000,
200311,0.05416667,0.08750000,
200312,0.23416667,0.36583333,
200401,0.07416667,0.18833333,
200402,0.07333333,0.26000000,
200403,0.01750000,0.03500000,
200404,0.05500000,0.08083333,
200405,0.15250000,0.14083333,
200406,0.05333333,0.08416667,
200407,0.09166667,0.12083333,
200408,0.06916667,0.04250000,
200409,0.03083333,0.10333333,
200410,0.14666667,0.20333333,
200411,0.02250000,0.02250000,
200412,0.14083333,0.24250000,
200501,0.06666667,0.20583333,
200502,0.04250000,0.01333333,
200503,0.16583333,0.15416667,
200504,0.06833333,0.04416667,
200505,0.28166667,0.47500000,
200506,0.09250000,0.18250000,
200507,0.01583333,0.03666667,
200508,0.01250000,0.02083333,0.00083333
200509,0.03500000,0.05250000,0.06833333
200510,0.03083333,0.05750000,0.05000000
200511,0.12750000,0.19166667,0.17963333
200512,0.39666667,0.42166667,0.45250000
200601,0.26750000,0.44166667,0.34310000
200602,0.05666667,0.19250000,0.08916667
200603,0.13166667,0.21750000,0.21000000
200604,0.29333333,0.46750000,0.40666667
200605,0.07333333,0.06666667,0.10250000
200606,0.02083333,0.11916667,0.04701667
200607,0.00500000,0.11833333,0.00000000
200608,0.00500000,0.01500000,0.00000000
200609,0.05416667,0.07416667,0.06000000
200610,0.08333333,0.12166667,0.05575833
200611,0.11833333,0.14916667,0.13666667
200612,0.15416667,0.17750000,0.15416667
200701,0.04166667,0.03166667,0.04833333
200702,0.08583333,0.12000000,0.13078333
200703,0.01833333,0.03333333,0.00511667
200704,0.07416667,0.06000000,0.10238333
200705,0.01083333,0.01583333,0.01166667
200706,0.03166667,0.04000000,0.04490000
200707,0.01083333,0.06166667,0.03980833
200708,0.00083333,0.02166667,0.00166667
200709,0.02833333,0.07333333,0.13190833
200710,0.19333333,0.19166667,0.25368333
200711,0.03750000,0.05916667,0.03524167
200712,0.13083333,0.21333333,0.19833333
200801,0.17166667,0.37416667,0.30166667
200802,0.06416667,0.16750000,0.17790000
200803,0.05083333,0.08750000,0.06250000
200804,0.02416667,0.01833333,0.01416667
200805,0.06916667,0.13333333,0.12416667
200806,0.02416667,0.03166667,0.00915833
200807,0.00000000,0.00000000,0.00000000
200808,0.00000000,0.00333333,0.00000000
200809,0.03250000,0.04416667,0.03833333
200810,0.08833333,0.02750000,0.05250000
200811,0.14250000,0.17916667,0.17833333
200812,0.16666667,0.37083333,0.29416667
200901,0.09500000,0.08916667,0.15333333
200902,0.05083333,0.10500000,0.08916667
200903,0.09416667,0.14083333,0.09500000
200904,0.06500000,0.07833333,0.06607500
200905,0.13416667,0.11666667,0.14416667
200906,0.32083333,0.44083333,0.36756667
200907,0.02500000,0.00000000,0.01075000
200908,0.00583333,0.09333333,0.05570833
200909,0.01583333,0.01916667,0.01773333
200910,0.20583333,0.21333333,0.21105833
200911,0.03416667,0.03666667,0.05416667
200912,0.07083333,0.06500000,0.07500000
201001,0.13000000,0.23750000,0.23976667
201002,0.02916667,0.02833333,0.03106667
201003,0.10250000,0.18000000,0.12500000
201004,0.15000000,0.14000000,0.13916667
201005,0.06416667,0.11916667,0.07415000
201006,0.10166667,0.17250000,0.15006667
201007,0.00916667,0.04583333,0.03006667
201008,0.00750000,0.06416667,0.00083333
201009,0.01416667,0.08333333,0.05583333
201010,0.15833333,0.19000000,0.18583333
201011,0.08916667,0.11666667,0.18416667
201012,0.23666667,0.27833333,0.22790000
